id,tamano_um,crecimiento_hora,clase
274,2.44,15.01,0
275,4.29,12.19,0
276,5.98,43.42,1
277,4.94,24.42,0
278,1.24,19.41,0
279,5.99,40.6,1
280,8.28,37.86,1
281,8.34,42.94,1
282,7.47,36.62,1
283,4.74,26.4,0
284,2.31,16.65,0
285,6.32,34.03,1
286,5.87,41.71,1
287,9.11,40.49,1
288,5.47,27.7,1
289,6.92,40.7,1
290,5.5,29.75,1
291,3.23,14.97,0
292,3.74,18.47,0
293,8.55,39.76,1
294,9.48,32.66,1
295,8.09,36.94,1
296,4.52,26.92,0
297,6.59,34.57,1
298,2.07,12.02,0
299,1.01,21.88,0
300,4.57,25.04,0
301,7.79,43.81,1
302,2.43,12.18,0
303,3.23,8.08,0
304,7.22,44.08,1
305,5.37,31.13,1
306,3.48,12.71,0
307,3.17,8.38,0
308,2.55,20.02,0
309,5.47,28.72,1
310,2.83,18.95,0
311,1.81,13.94,0
312,4.78,22.14,0
313,5.35,23.0,0
314,1.75,16.84,0
315,5.12,22.38,0
316,6.74,36.25,1
317,4.61,23.63,0
318,4.92,27.59,1
319,3.87,19.64,0
320,3.4,8.96,0
321,6.3,31.2,1
322,8.85,37.98,1
323,7.37,40.42,1
324,3.16,13.47,0
325,1.0,12.86,0
326,7.67,37.35,1
327,9.01,37.16,1
328,3.52,16.28,0
329,2.7,10.68,0
330,6.75,41.46,1
331,8.39,38.12,1
332,6.35,32.67,1
333,4.83,23.85,0
334,7.72,44.69,1
335,4.29,16.69,0
336,2.26,10.37,0
337,5.15,30.49,1
338,9.36,31.85,1
339,3.5,18.15,0
340,9.41,38.34,1
341,8.62,31.61,1
342,7.51,33.08,1
343,1.9,21.09,0
344,5.24,28.73,1
345,3.17,11.93,0
346,6.16,37.46,1
347,6.22,38.71,1
348,1.68,12.68,0
349,1.08,10.9,0
350,8.58,39.49,1
351,1.04,18.81,0
352,2.13,21.96,0
353,3.88,17.06,0
354,1.54,22.41,0
355,5.76,37.05,1
356,9.31,42.98,1
357,1.0,12.3,0
358,2.43,16.76,0
359,2.05,14.13,0
360,8.67,34.41,1
361,4.88,27.74,1
362,3.2,17.14,0
363,2.68,11.66,0
364,1.32,9.45,0
365,4.27,11.98,0
366,6.89,40.71,1
367,2.71,20.79,0
368,3.69,14.33,0
369,3.45,15.57,0
370,5.4,29.08,1
371,4.96,30.28,1
372,1.26,12.29,0
373,1.93,17.07,0
374,7.4,32.64,1
375,5.14,29.54,1
376,9.43,37.93,1
377,6.87,44.92,1
378,4.42,22.76,0
379,5.76,41.59,1
380,1.91,17.61,0
381,4.51,26.8,0
382,3.45,12.5,0
383,4.84,22.15,0
384,5.89,39.81,1
385,1.91,22.05,0
386,1.25,11.2,0
387,5.65,31.89,1
388,8.34,34.79,1
389,2.65,11.21,0
390,3.92,9.06,0
391,3.55,19.55,0
392,5.22,26.82,0
393,5.15,26.16,0
394,4.07,17.23,0
395,2.44,12.15,0
396,4.81,28.86,1
397,2.41,11.1,0
398,4.05,19.15,0
399,5.28,23.22,0
400,4.87,31.38,1
401,3.26,12.95,0
402,4.4,20.54,0
403,4.78,22.03,0
404,8.5,40.87,1
405,5.25,28.53,1
406,1.69,18.74,0
407,5.36,23.98,0
408,3.02,17.29,0
409,3.13,12.12,0
410,7.89,44.98,1
411,7.31,40.78,1
412,7.97,34.35,1
413,6.41,34.02,1
414,7.69,41.67,1
415,1.84,17.56,0
416,2.78,22.02,0
417,7.52,32.28,1
418,5.66,42.06,1
419,3.52,18.06,0
420,2.41,17.45,0
421,1.27,11.49,0
422,3.82,16.22,0
423,6.96,35.67,1
424,1.73,9.98,0
425,7.9,43.18,1
426,7.68,34.84,1
427,6.95,39.23,1
428,6.73,32.74,1
429,9.0,31.5,1
430,5.67,30.05,1
431,1.81,18.03,0
432,5.63,27.92,1
433,8.81,44.16,1
434,8.3,35.29,1
435,6.16,32.82,1
436,6.7,32.41,1
437,6.72,42.18,1
438,4.98,29.21,1
439,8.49,44.27,1
440,3.93,16.66,0
441,7.22,32.39,1
442,5.55,31.41,1
443,9.19,44.96,1
444,4.5,25.86,0
445,7.75,36.37,1
446,4.42,24.7,0
447,3.32,16.05,0
448,7.7,35.83,1
449,5.78,42.15,1
450,5.55,28.01,1
451,1.9,11.7,0
452,1.78,11.3,0
453,2.62,16.25,0
454,1.27,10.79,0
455,2.87,8.76,0
456,4.8,22.83,0
457,6.67,42.69,1
458,3.18,14.0,0
459,1.53,12.45,0
460,5.72,27.8,1
461,5.7,43.38,1
462,7.32,39.11,1
463,3.75,8.1,0
464,2.83,18.79,0
465,5.4,23.75,0
466,1.6,22.37,0
467,5.2,28.14,1
468,5.14,27.53,1
469,1.22,13.72,0
470,5.15,22.57,0
471,7.7,44.6,1
472,8.13,43.72,1
473,7.72,36.79,1
474,8.4,41.63,1
475,5.23,28.77,1
476,7.92,35.08,1
477,2.05,8.87,0
478,7.65,37.4,1
479,1.76,20.25,0
480,5.72,31.38,1
481,8.14,41.77,1
482,8.41,34.01,1
483,5.13,26.83,0
484,5.43,27.64,1
485,4.39,15.64,0
486,5.62,30.26,1
487,9.31,44.99,1
488,5.96,34.1,1
489,3.99,22.2,0
490,2.5,11.21,0
491,9.31,31.46,1
492,5.48,29.69,1
493,7.33,43.04,1
494,2.38,17.31,0
495,1.37,14.52,0
496,8.84,34.6,1
497,2.44,11.18,0
498,6.41,33.95,1
499,5.1,23.38,0
500,2.99,21.47,0
501,3.7,11.41,0
502,2.49,15.76,0
503,6.38,36.39,1
504,8.51,35.63,1
505,8.46,32.26,1
506,9.29,36.87,1
507,9.46,35.28,1
508,6.26,32.11,1
509,8.21,43.01,1
510,1.9,22.0,0
511,1.01,19.57,0
512,9.2,38.12,1
513,1.85,21.85,0
514,8.02,39.53,1
515,1.29,15.29,0
516,5.61,37.31,1
517,1.38,14.52,0
518,8.28,43.93,1
519,8.15,33.16,1
520,9.03,43.1,1
521,4.84,25.66,0
522,8.56,33.85,1
523,6.72,44.23,1
524,1.08,19.05,0
525,7.83,39.05,1
526,7.48,34.32,1
527,4.54,24.31,0
528,2.91,11.94,0
529,4.19,9.73,0
530,8.18,31.36,1
531,2.61,19.77,0
532,8.82,32.0,1
533,5.46,29.69,1
534,8.05,43.65,1
535,1.07,21.94,0
536,5.07,28.31,1
537,5.61,43.02,1
538,6.78,36.72,1
539,5.81,33.09,1
540,2.37,12.43,0
541,8.17,42.74,1
542,2.36,11.29,0
543,9.36,32.97,1
544,9.42,34.41,1
545,5.38,28.46,1
546,2.37,13.09,0
547,4.81,30.86,1
548,4.86,25.05,0
549,9.45,40.21,1
550,2.01,17.58,0
551,4.11,14.88,0
552,8.12,35.33,1
553,6.92,32.61,1
554,4.84,27.58,1
555,4.38,17.75,0
556,6.28,31.73,1
557,5.96,44.47,1
558,4.1,21.06,0
559,4.91,23.71,0
560,6.58,32.69,1
561,6.67,38.92,1
562,8.22,39.18,1
563,3.6,9.93,0
564,9.47,35.13,1
565,3.71,20.91,0
566,9.0,39.04,1
567,7.8,35.25,1
568,8.24,41.09,1
569,8.42,44.72,1
570,8.18,39.98,1
571,3.06,15.67,0
572,1.41,11.37,0
573,1.85,9.54,0
574,4.3,10.68,0
575,3.71,10.55,0
576,5.05,25.77,0
577,1.26,21.25,0
578,1.9,19.76,0
579,4.75,25.77,0
580,3.84,16.74,0
581,6.86,34.51,1
582,7.53,32.13,1
583,2.46,16.7,0
584,5.06,28.98,1
585,5.23,30.49,1
586,3.02,18.13,0
587,8.63,38.19,1
588,2.15,16.82,0
589,2.12,20.97,0
590,6.28,32.05,1
591,2.61,11.89,0
592,8.67,39.75,1
593,6.36,34.18,1
594,7.38,35.5,1
595,1.24,17.47,0
596,7.96,32.39,1
597,8.76,36.41,1
598,6.58,42.83,1
599,4.87,22.64,0
600,2.89,18.78,0
